ABCG5	ABHD17AP6	ABCA6	ABCC8	ABCG8	AC005220.1	AARD	AC004836.1	ABCA9	AC004930.1	AC004707.1	AADAC	ABCB5	AC005180.2	ABI3BP	AC005180.1	AC004947.1	ABCC13	AADACL2	AC002398.2	AC004147.4	ABCA8	ABHD17AP7	ABCG2	ABCB11	AC004835.1	AC003965.2	AC004467.1	AC004386.1	AC000111.2	AC004233.2	AC005070.2	AC005261.5	AC005264.1	AC005096.1	AC005229.1	AC004704.1	AC004223.2	AC004884.1	AACSP1	AC003080.1	ABCA12	AC004988.1	AC004593.1	ABCA9.AS1	AC005089.1	AC004080.1	AC000111.1	AC005256.1	AC000099.1
0.0138489261	0.0740201222	0.9356319201	0.5738579791	0.019331334	0.0582782863	0.266988003	0.4469227569	0.9414057168	0	0.2882126158	0.0772152354	0.2643518678	2.3833952522	4.1296998049	1.3603561815	0.4168123387	0.8913066536	0.0711153689	0.3122303337	1.2999870437	5.9775182433	0	4.9998393943	0.2000310816	0	0.1944075663	0	0.0676977728	0.1334663344	0	0	0.1671456545	0.0111078062	0	0	0	0	0	0	0	0.0410349446	0.0145448913	0	0.008615051	0.0114944233	0.0340277444	0	0	0
0.0847698021	0.0533035266	0.1297726733	0.0848389563	0.0904859867	0.0629512238	0.05383391	0.0585161744	0.1887641248	0.5112102005	0.8820801781	0.0556043983	0.0160307895	0.3630709965	1.377112974	0.1264029116	0.113392184	0.9030876177	0.0365798211	0	0.2773776041	1.2803087045	0	12.1789322634	0.4105333934	0	0.0699985935	0	0.0243753315	0.0961120584	0	0	0.1203652815	0	0	0	0	0.0340985795	0.1162986036	0.0054880554	0.0241846509	0	0	0.023245147	0	0.0082773883	0	0	0	0
0.0433959919	0	0.1910822032	0.1190860799	0.1514381707	0	0.0585629991	0.159141453	0.1854740611	0.1588908366	1.2982381361	0.024195607	0.0196189074	0.466777173	1.2701569636	0.4125206728	0.1596335841	0.9071389359	0.0477518507	0.0305744489	0.3017440934	1.9025068417	0	16.2956514859	3.7608174716	0	0.0761476839	0	0.0530332096	0	0.0410980372	0	0.1163901153	0	0	0	0	0	0.0632574804	0	0	0	0	0.0252871382	0	0.0360180924	0.026656719	0	0	0
0.0460327	0.0205030704	0.4280738576	0.4958125206	0.2570231055	0.0726421001	0.1952381928	0.337621538	0.386460106	0.0842724626	0.6286843575	0.0641642851	0.0485588544	0.6094008685	5.1923904412	0.5105159746	0.2847869844	0.5250484096	0.0126633044	0.1297285182	0.3600875693	4.3008413447	0	9.3162094922	0.274265883	0.0073633318	0.1615487208	0	0.0843832017	0.2218156011	0	0	0.0771636824	0	0	0.0523354658	0	0.0786956085	0.0671009577	0	0	0.0477388823	0.0120865079	0	0	0.0286548936	0.0282763613	0	0	0
0.216348278	0	0.3607906808	0.2745848423	0.2642452701	0.056901555	0.0625634013	0.2380172301	0.6935028781	0	0.5979836144	0.0904693788	0.1765995112	2.1033325688	5.9084629967	1.7138321848	0.1266115866	0.4808664334	0.1835077954	0.1143203969	0.14103077	3.9796065933	0	3.7248452744	3.4032012535	0	0.1898149986	0.0762135979	0.0330492606	0	0	0	0.2357291529	0	0.0404348671	0	0	0.0924650269	0.078841653	0	0	0.0026710373	0	0.0630338028	0	0.0448915436	0	0	0	0
0.0094042434	0.1843015522	0.2447455847	0.1135502039	0.006563562	0.059361627	0.2610730264	0.5242049884	0.6775500646	0	0.954103242	0.0209734925	0.0207854403	1.0271040239	2.903099711	0.7449698795	0.2515914099	0.8956397249	0.0379433683	0.159017207	0.1634756334	2.7739966921	0	20.2917501937	0.5365402946	0.006017163	0.0660071425	0	0.0919416177	0	0	0	0.0504452567	0	0.0281220141	0	0	0	0.1096670393	0	0.0228055968	0.005573033	0	0	0	0.0078053961	0.069320579	0	0.0763838112	0
0.0516815419	0.0736610483	0.3953522915	0.184369974	0.1082112585	0.0217483412	0.2072404119	0.1819451129	0.7930874458	0	0.9948877527	0.0230521986	0.107996948	1.1289014392	3.93161987	0.458530614	0.3110927767	0.6222029621	0.1061555789	0.2621663673	0.3952913451	3.529440661	0	9.5651788457	1.9520392299	0	0.1450983668	0	0.0757905398	0	0	0	0.1108898838	0.0082904414	0	0	0	0	0.2410725216	0	0	0.0081671766	0	0.0963685895	0	0.0085789976	0	0	0	0
0.0359929653	0.2778767241	0.6607485347	0.240342521	0.0837359792	0	0.730901923	0.1055945038	0.6666122442	0	0.8426884454	0.0802720808	0.0265174487	1.3500564193	3.0715002472	0.7983448171	0.152462111	0.9012004713	0.0396057476	0.7100430419	0.5839606326	3.7473917471	0	8.9161286505	0.1343010663	0	0.0842099565	0	0.0293240978	0.1156250697	0.090898731	0	0.0643565637	0	0	0	0	0	0.0699549795	0	0	0.0142198206	0.0126005864	0.0559289184	0	0	0.0589580937	0	0	0
0.0139941555	0.7479634857	0.4175402694	0.222733771	0.0195340558	0.0883341492	0.4640350581	0.6158311349	0.677856743	0	0.7280875329	0.0312099872	0.0956022898	1.4820856543	5.4486189777	0.8868527871	0.1684733288	0.502520963	0.1129246391	2.2874083327	0.340568047	4.9266198662	0	19.6668111873	1.3593158188	0	0	0	0.0342038493	0	0.1590374499	0	0.0938324777	0.0112242903	0.0418474748	0	0	0	0.0815960166	0.0154018517	0	0.0082930531	0.0146974191	0.065235913	0	0.046459847	0.034384583	0	0	0
0.1481766952	0.2362042298	0.345447471	0.059923299	0.4626589416	0	0.1683914263	0.0686390469	0.6539398245	0.1713273848	0.8520841685	0.008696474	0.1237929964	0.3871633074	2.6796863987	0.1976929279	0.1251841949	0.6277423449	0.0457683883	0.043956723	0.4338158828	3.4887007957	0	7.06435676	1.0137951251	0	0.1094771214	0	0.0762455642	0	0.029543215	0	0.2719168588	0	0	0	0	0.0266649239	0.0909449441	0.0042916327	0	0.0107837755	0.0245720812	0.0545327766	0	0	0	0	0	0
0.0877371489	0.042630903	0.245319744	0.1488370743	0.1169030542	0.0167823012	0.0984116369	0.163799495	0.3376513061	0	1.1619455085	0.391345556	0.0769262833	0.5015578842	2.5460178745	0.3285557162	0.3040728489	1.1152263322	0.055585788	0.0224781125	0.0554600159	1.6388649285	0	29.227388354	0.541464609	0.0102067797	0.1119664472	0.044956225	0.0584844452	0	0.0604299563	0	0.0427845833	0.006397393	0.0238513734	0	0	0	0.0465064397	0	0	0.0031511373	0	0	0	0.0198601797	0	0	0	0
0.0127166153	0.3624966194	0.5448976637	0.0907311175	0.0532523176	0	0.6374124324	0.1865371011	0.965371851	0	0.165404926	0.0709019916	0.4062668037	4.4191369456	14.2352650264	3.1026808174	0.4082486199	0.3728167176	0.1539234561	2.1502640376	0.1768441451	4.8239891328	0	6.3572059511	0.5739881677	0	0	0.0716754679	0	0	1.5897064066	0	0.1705328364	0.0101996138	0.0380271775	0	0	0.0869592074	0	0	0	0.0200959256	0	0.0592804622	0.0079106704	0.0211092409	0.0312455805	0	0	0
0.1032305972	0.2528852991	0.6054976781	0.1628874649	0.1170786041	0	1.5622615562	0.1514265858	1.2894788158	0.2834777226	0.1342719656	0.028778314	0.0285202822	2.6478097123	3.5330479114	1.5537347974	0.3365851995	0.7185560104	0.1135923353	0.8364024521	0.0897237901	3.3344961153	0	1.4753159912	0.046595057	0.0082563171	0.5434214455	0	0.2207724007	0.1243581028	2.492987385	0	0.1211303511	0.0103497688	0	0	0	0	0	0.0071009213	0	0.0254897131	0.0271045893	0	0.0080271284	0	0	0	0	0
0.1074443367	0.4053680856	1.1430858658	0.4544093706	0.2558458236	0.0265965486	0.672588341	0.1854207332	2.3848364689	0	0.5918940998	0.0845731977	0.7111567149	10.6679608286	13.7174521872	6.9692925377	0.3888968185	0.1820035408	0.0463643245	1.2468139602	0	2.8356656759	0	0.7565533082	0.1141106046	0	0.2661662147	0	0.0617906674	0	0.0957692422	0	0.0169512249	0	0	0	0	0	0.1474065766	0	0	0.012484786	0.0265514952	0.0589256866	0.0235899822	0.0104914542	0	0	0	0
0.0897706974	0.7357069798	1.0194693064	0.206930861	0.200493505	0	1.4952850492	0.737422385	1.428747946	0	0.6538822267	0.0800832121	0.5122661034	1.7232140277	7.6292499707	1.536042393	0.3242203828	0.4796478001	0.2239045121	1.2143527067	0.0624199989	5.8959777973	0	5.0973757385	0.4408541179	0	0	0	0	0	0	0	0.0481538564	0	0.0536892274	0	0	0	0	0	0	0.0283727268	0	0	0.0111687958	0	0	0	0	0
0.1607763427	0.0327360698	0.1775118068	0.1790003272	0.237247449	0.0386611503	0.0991854054	0.1347652084	0.2711230026	0.0672764898	0.9320851866	0.1331816364	0.0036919582	0.8817769114	2.9123770609	0.5531113117	0.1659051303	1.1586590246	0.033697946	0.1035650207	0.3832873664	2.8650102795	0	19.4427945473	0.3649204283	0	0.0644838808	0.0517825104	0.0224549651	0.0885400436	0	0	0.1724839206	0	0	0	0	0	0	0	0	0.0072592304	0.009648915	0.0214138201	0.0057151266	0	0	0	0	0
0.1302490409	0.2320528889	0.5429443044	0.2629632767	0.1883042955	0.0783009748	0.294148065	1.2009442886	0.7857942777	0	0.5808508676	0.2178626044	0.1607635656	1.4471747781	8.5781720695	1.0023058342	0.1244481513	0.603608354	0.0580115879	1.1536343621	0.3234488866	3.4722926989	0	5.3969528326	0.2620369256	0	0.0653000582	0.0524379256	0	0.0896607017	0	0	0.2994292504	0	0	0	0.0296818447	0.031809771	0	0.0153590374	0	0.0110266666	0.009771042	0.0433697129	0	0.0386089144	0.0228593335	0	0.0377827848	0
0.065843805	0.085314857	0.3272965131	0.1445493977	0.0835541376	0.025189115	0.221563957	0.8429215524	0.7406961389	0	0.5294293993	0.0533985076	0.0168380948	4.3583443847	5.338605542	3.1864445054	0.2402068789	0.5233472089	0.1361235472	0.8771918478	0.5826924999	3.4243485012	0	8.6671130924	0.2247899901	0	0.3361083423	0	0	0.2307479552	0.1814026694	0	0.224758823	0	0.071598642	0	0	0.0818646238	0	0	0	0.0165537642	0.0125732229	0.1116149257	0	0.0099362685	0	0	0	0
0.1709188322	0.0270676056	0.283564299	0.0875524027	0.3605222246	0.0319667197	0.082010805	0.1114297329	0.3478597525	0.2225085059	0.849733532	0.0254123923	0.1511072402	0.3771162845	3.0979414586	0.1925627274	0.2032260356	0.4533180193	0.0975202434	0.0214080153	0.1320494404	3.6909832873	0	15.8255044107	1.9173701802	0	0.0533180759	0	0.0928337065	0	0	0	0.0611216588	0.0060928375	0	0	0	0.0259729598	0	0	0	0.0030011236	0	0.0354117547	0	0.0063049041	0	0	0	0
0.1029370569	0.0500164383	0.7084796142	0.2234136449	0.3265613606	0.0787589164	0.3103009878	0.3568996322	0.929422433	0	0.9980902677	0.0104350842	0.1128165962	1.5175806149	5.419270609	0.80060384	0.344233955	0.3847375269	0.0858100992	0.1318615191	0.2602724564	5.7900377794	0	22.4069929414	2.6086616663	0	0	0	0.0457443378	0.631295563	0.0708990653	0	0.1254918567	0	0.0279834735	0	0	0	0.0545633872	0	0	0.0055455779	0	0	0	0.0388347178	0	0	0	0
0.1198882858	0.0474653494	0.3455099084	0.4142888864	0.2541221784	0	0.1232682209	0.1042141426	0.3687121223	0	0.6699584704	0.2079596964	0.0731592963	0.2057394861	2.4179570184	0.2532563448	0.1247309506	0.4375205572	0.0521173468	0.0500543685	0.4939945151	3.4569702553	0	8.773452891	0.6766231173	0	0	0	0.0868222949	0.2567555689	0	0	0.0952729148	0	0.0265561762	0	0	0	0.1553411436	0	0	0.0070169675	0	0	0.0165731856	0.0073707905	0.0218202663	0	0	0
0.0320576922	0.1468652895	0.101127509	0.1005392362	0.0447484484	0	0.2895900981	0.6986525442	0.2106477967	0	0.7624670692	0.0204273064	0.0736150959	1.0003564556	1.4696161212	0.4643645268	0.1102677901	1.0693414865	0.0167978442	0.103250749	0.1910621336	1.4228546464	0	36.7926632337	0.7441630858	0	0.0642882022	0	0	0	0.0693945971	0	0.0736973623	0	0.0273896681	0	0.0584438202	0.0626337264	0	0	0	0.003618601	0	0.0213488391	0	0.0076021301	0	0	0	0
0.0455624755	0.0676454377	0.2565163184	0.1354505578	0.0900991541	0.0319555824	0.1346850954	0.0891127281	0.3446475468	0.1112154913	0.71115696	0.0338713847	0.1205385141	0.603175832	4.1634590003	0.3849912749	0.2539440381	0.5348342813	0.1086275544	0.0428011133	0.5280137346	2.8718583897	0	12.1053520102	4.1871304638	0	0	0	0.1299219077	0.0731832508	0	0	0.0712837576	0	0	0	0	0.077891732	0.1328310414	0	0	0.0075001951	0	0	0	0.0063027075	0	0.0672588924	0	0
0.1482794978	0.0754788905	0.7030241794	0.3545882018	0.5026639207	0.0891402282	0.0980099026	0.1242901604	1.358025382	0	1.3500692737	0	0.5405420295	0.7361206385	10.452946275	0.7718905957	0.4179429827	0.2700894042	0.1010056697	0.1492423517	0.478691356	4.1667328314	0	1.9586211599	0.2753638731	0.0067767425	0.3716979325	0	0.1035479129	0.2041449785	0.0802443602	0	0.2414562633	0.0254851105	0	0.0481662358	0	0.0362132177	0.1235109117	0	0.0256844725	0.012553095	0.0333709606	0.0493734096	0.0131772511	0.0615349991	0	0	0	0
0.1875361803	0.0541810027	0.2398345	0.1112716963	0.2122512826	0	0.211063309	0.0594794604	0.2125028844	0.0742322399	0.7647478031	0.0452158008	0.1507258487	1.4090917	3.0949799661	1.0278699251	0.3050969084	0.7227569907	0.1747553698	0.2285453205	0.4229156397	2.4266805118	0	2.7769104996	0.2306084844	0	0.3557545083	0	0.1982127615	0	0.0384011995	0	0.1631289598	0.01626131	0	0.0461002175	0	0	0.1773196452	0	0	0.0140170903	0.0532326057	0.0236278057	0	0.0084136497	0	0	0	0
0.0369825523	0.0439256368	0.2884173889	0.158995511	0.1032458495	0.0518759783	0.1711133016	0.1446636115	0.2433669652	0.1805447434	0.5451693722	0.054986049	0.0371543412	0.1631970279	1.9340884422	0.1562465582	0.1484089477	1.1569378556	0.0542595522	0.0347411855	0.5142994187	2.9245261573	0	15.0070742184	0.4718488325	0	0.1730504333	0	0.1205213268	0	0.1867957834	0	0.2645039068	0	0.0737272747	0	0	0	0.2156349444	0	0	0.0365269474	0.0129470256	0	0	0.0102316744	0.0605790817	0	0	0
